m_number,no_of_grounds,description,colour_code,1,2,3,layer1_colour,layer1_composition,layer2_colour,layer2_composition,layer3_colour,layer3_composition,toplayer_colour,reliability,sample,microscopy,elem_analysis,sample_location,sample_name_1,sample_link_1,sample_name_2,sample_link_2,researchers,source,dttg_new_research,notes
M470,2,"1. Pale yellow chalk glue layer
2. Streaky grey priming",W-G,,,,W,,G,,,,G,4,,,,,,,,,Jørgen Wadum,"Mauritshuis documentation, 1993 catalogue",,May be another light brown ground layer under the grey
M471,1,"Thin, dark grey layer",DG,,,,DG,,,,,,DG,3,,,,,,,,,Abbie Vandivere,"Mauritshuis documentation, 1993 catalogue",,"""Fairly thick, grey layer that is paler in the upper part of the painting"""
M472,2,"1. Ochre layer
2. Thick grey layer",Y-G,,,,Y,,G,,,,G,3,,,,,,,,,"Carol Pottasch, N.C.","Mauritshuis documentation, 1993 catalogue",,"In other documentation, it says there is a white ground"
M473,1,"Thin, pale-brown oil (?) ground",LBr,,,,LBr,,,,,,LBr,4,,,,,,,,,N.C.,"Mauritshuis documentation, 1993 catalogue",,
M474,1,"Thin, yellowish-white chalk layer",LY,,,,LY,Calcium carbonate (chalk),,,,,LY,2,,,,,,,,,"Jørgen Wadum, Sarah Kleiner","Mauritshuis documentation, 1993 catalogue",,"Appears in catalogue as ""pinkish ground"" but stereo microscope analysis revealed ""white grey"". May be pink ground and grey underpainting?"
M475,1,Light grey ground,LG,,,,LG,,,,,,LG,3,,,,,,,,,Carolien van der Elst,"Mauritshuis documentation, 1993 catalogue",,"""Thin, grey layer. The ground was deliberately left exposed in the modelling and shadows."""
M476,1,"Thin, grey layer",G,,,,G,"Lead white, black, ochre",,,,,G,2,,,,,,,,,,"Mauritshuis documentation, 1993 catalogue",,
M477,1,"Warm, beige-coloured layer",LBr,,,,LBr,,,,,,LBr,3,,,,,,,,,Gwen Tauber,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M478,2,"1. Brownish red (brown ochre)
2. Grey (lead white, chalk, charcoal) ",Br-G,,,,Br,Brown ochre,G,"Lead white, chalk, charcoal black",,,G,2,,,,,,,,,M. Chavannes,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M479,1,White ground,W,,,,W,,,,,,W,3,,,,,,,,,Ige Verslype,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,Is this just discoloured white?
M480,1,Yellowish ground,LY,,,,LY,,,,,,LY,3,,,,,,,,,Ige Verslype,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M481,1,Off-white ground,LY,,,,LY,,,,,,LY,3,,,,,,,,,ige Verslype,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M482,1,Whitish ground,W,,,,W,,,,,,W,3,,,,,,,,,Ige Verslype,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M483,1,Yellowish ground,LY,,,,LY,,,,,,LY,3,,,,,,,,,Ige Verslype,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M484,1,Whitish ground,W,,,,W,,,,,,W,3,,,,,,,,,M. van de Laar,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M485,1,Whitish ground,W,,,,W,,,,,,W,3,,,,,,,,,M. van de Laar,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M486,1,Ochre coloured ground,Y,,,,Y,,,,,,Y,3,,,,,,,,,Ige Verslype,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M487,1,Chalk ground,LY,,,,LY,Calcium carbonate (chalk),,,,,LY,3,,,,,,,,,Gwen Tauber,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M488,1,Beige ground,LBr,,,,LBr,,,,,,LBr,3,,,,,,,,,L. Sozzani,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M489,1,Thin white ground,W,,,,W,,,,,,W,3,,,,,,,,,W. de Ridder,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M490,2,"1. White ground layer
2. Grey imprimatura",W-G,,,,W,,G,,,,G,3,,,,,,,,,W. de Ridder,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M491,2,"1. White ground layer
2. Brown imprimatura",W-Br,,,,W,,Br,,,,Br,3,,,,,,,,,Gwen Tauber,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M492,1,Red ground layer,R,,,,R,,,,,,R,3,,,,,,,,,M. van de Laar,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M493,1,Red ground layer,R,,,,R,,,,,,R,3,,,,,,,,,M. van de Laar,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,Beige ground was left visible in the shield
M494,1,Beige ground,LBr,,,,LBr,,,,,,LBr,3,,,,,,,,,Gwen Tauber,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M495,1,Beige ground,LBr,,,,LBr,,,,,,LBr,3,,,,,,,,,Ige Verslype,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M496,1,White ground,W,,,,W,,,,,,W,3,,,,,,,,,Gwen Tauber,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M497,1,Beige ground,LBr,,,,LBr,,,,,,LBr,3,,,,,,,,,L. Sozzani,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M498,1,White chalk ground,LY,,,,LY,Calcium carbonate (chalk),,,,,LY,3,,,,,,,,,Gwen Tauber,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M499,1,Yellow ochre coloured,Y,,,,Y,,,,,,Y,3,,,,,,,,,M. van de Laar,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M500,1,Single brownish ground layer,Br,,,,Br,"Quartz, brown earth",,,,,Br,2,,,,Rijksmuseum (PSD),105/5-8,,,,Arie Wallert,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M501,2,"1. Red ground layer
2. Beige imprimatura",R-LBr,,,,R,,LBr,,,,LBr,3,,,,,,,,,M. van de Laar,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M502,2,"1. Grey layer
2. Yellow ochre layer",G-Y,,,,G,,Y,,,,Y,3,,,,,,,,,M. van de Laar,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M503,2,"1. Grey layer
2. Yellow ochre layer",G-Y,,,,G,,Y,,,,Y,3,,,,,,,,,M. van de Laar,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M504,2,"1. Grey layer
2. Yellow ochre layer",G-Y,,,,G,,Y,,,,Y,3,,,,,,,,,M. van de Laar,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M505,1,Red ground layer,R,,,,R,,,,,,R,3,,,,,,,,,M. van de Laar,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M506,2,"1. Thick red earth layer rich in aluminosilicates with lead soaps and red lead 
2. Thin grey layer with very fine black tinting a mixture based on lead white",O-G,,,,O,"Lead, silicon, aluminum, iron, potassium, magnesium, calcium",G,"Lead, silicon, aluminum, calcium, potassium, iron",,,G,1,YES,YES,YES,"RKD, JRJ van Asperen de Boer archive",A306,,,,"JRJ van Asperen de Boer, Moorea Hall-Aquitania","Centraal Museum documentation, RKD samples",Yes,"VAdB (A306/2): ""1. oranje-rode plamuur met grote witte brokken en donkerrode stukjes 2. grijs-witte laag met grote witte brokken"" "
M507,2,"1. Red earth layer rich in aluminosilicates 
2. Grey layer with fine black particles ",O-G,,,,O,"Silicon, aluminum, lead, carbon, iron, calcium, magnesium, potassium",G,"Lead, carbon, silicon, aluminum, calcium",,,G,1,YES,YES,YES,"RKD, JRJ van Asperen de Boer archive",A330,,,,"JRJ van Asperen de Boer, Moorea Hall-Aquitania","Centraal Museum documentation, RKD samples",Yes,Grey layer looks like the one in the Niobids (toned)
M508,2,"1. Red earth layer 
2. Light brown layer based on lead white with small brown and black particles",O-LBr,,,,O,"Lead, silicon, aluminum, sodium, potassium, calcium",LBr,"Lead, sodium, silicon, aluminum, potassium, calcium, iron",,,LBr,1,YES,YES,YES,"RKD, JRJ van Asperen de Boer archive",A220,,,,"JRJ van Asperen de Boer, Moorea Hall-Aquitania","Centraal Museum documentation, RKD samples",Yes,
M509,2,"1. Translucent lower layer that may be chalk
2. Light brown upper layer with white, black, and brown particles",LBr-LBr,,,,LBr,"Calcium (high), lead, silicon",LBr,"Lead, calcium, silicon, iron, manganese",,,LBr,1,YES,YES,YES,"RKD, JRJ van Asperen de Boer archive",A327,,,,"JRJ van Asperen de Boer, Moorea Hall-Aquitania","Centraal Museum documentation, RKD samples",Yes,Need to identify lower layer
M510,2,"1. Red earth layer
2. Brown layer with white and black particles",O-Br,,,,O,"Silicon, aluminum, lead, iron, potassium, calcium",Br,"Lead, silicon, aluminum, iron, manganese",,,Br,1,YES,YES,YES,"RKD, JRJ van Asperen de Boer archive",A218,,,,"JRJ van Asperen de Boer, Moorea Hall-Aquitania","Centraal Museum documentation, RKD samples",Yes,
M511,3,"1. Very thin chalk
2. Grey with brown earth pigments
3. Light grey with large white particles and some black and grey particles ",LY-G-LG,,,,LY,Calcium carbonate (chalk),G,"Lead, calcium, iron, silicon",LG,"Lead, calcium, iron, silicon",LG,1,YES,YES,YES,"RKD, JRJ van Asperen de Boer archive",A307,,,,"JRJ van Asperen de Boer, Moorea Hall-Aquitania","Centraal Museum documentation, RKD samples",Yes,
M512,2,"1. Very thin chalk
2. Light grey with large white particles and some fine black and brown particles ",LY-LBr,,,,LG,Calcium carbonate (chalk),LG,"Lead, calcium, silicon, iron",,,LG,1,YES,YES,YES,"RKD, JRJ van Asperen de Boer archive",A308,,,,"JRJ van Asperen de Boer, Moorea Hall-Aquitania","Centraal Museum documentation, RKD samples",Yes,"Samples are fewer and much less clear than the Egg Farmer, but based on A308-1 in comparison to its pendant it appears to have the same preparation"
M513,2,"1. Chalk ground
2. Brown earth layer",Br,,,,LY,"Calcium, silicon lead, magnesium",Br,"Lead, silicon, iron, aluminum, calcium, manganese, iron, potassium",,,Br,1,YES,YES,YES,"RKD, JRJ van Asperen de Boer archive",A309,,,,"JRJ van Asperen de Boer, Moorea Hall-Aquitania","Centraal Museum documentation, RKD samples",Yes,Not a great sample
M514,2,"1. Layer of translucent brown
2. Upper layer of light brown with particles of lead white and brown earth",Br-LBr,,,,Br,"Silicon, aluminum, potassium, iron, titanium, lead, magnesium, carbon, manganese",LBr,"Lead, silicon, aluminum, iron, calcium, manganese",,,LBr,1,YES,YES,YES,"RKD, JRJ van Asperen de Boer archive","A219, A320",,,,"JRJ van Asperen de Boer, Moorea Hall-Aquitania","Centraal Museum documentation, RKD samples",Yes,
M515,2,"1. Red earth layer 
2. Light brown layer based on lead white with small brown particles",O-LBr,,,,O,"Silicon, aluminum, lead, potassium, iron, calcium, titanium, sodium",LBr,"Lead, silicon, aluminum, calcium, iron, potassium, manganese",,,LBr,1,YES,YES,YES,"RKD, JRJ van Asperen de Boer archive",A325,,,,"JRJ van Asperen de Boer, Moorea Hall-Aquitania","Centraal Museum documentation, RKD samples",Yes,
M516,2,"1. Chalk ground
2. Brown earth layer",LY,,,,LY,"Calcium, lead, silicon",Br,"Lead, calcium, silicon, aluminum, iron, manganese",,,Br,1,YES,YES,YES,"RKD, JRJ van Asperen de Boer archive",A326,,,,"JRJ van Asperen de Boer, Moorea Hall-Aquitania","Centraal Museum documentation, RKD samples",Yes,Samples inconclusive
M517,2,"1. Red earth layer 
2. Light grey layer with fine black and a lot of translucent particles",O-LG,,,,O,"Aluminum, silicon, lead, iron, calcium, potassium",LG,"Lead, calcium, silicon, aluminum, carbon",,,LG,1,YES,YES,YES,"RKD, JRJ van Asperen de Boer archive",A329,,,,"JRJ van Asperen de Boer, Moorea Hall-Aquitania","Centraal Museum documentation, RKD samples",Yes,
M518,2,"1. Yellowish ground
2. Thin grey priming layer",LY-G,,,,LY,Calcium carbonate (chalk),G,"Charcoal black, red and brown earth pigments",,,G,2,,,,Mauritshuis,,,,,Barbara Schoonhoven,"Mauritshuis documentation, 1993 catalogue",Yes,
M519,2,"1. Red ochre layer
2. Light grey layer",LR-LG,,,,LR,"Red ochre, chalk and/or yellow ochre",LG,"Lead white, charcoal black, possibly yellow ochre",,,LG,2,,,,,,,,,Petria Noble,"Mauritshuis documentation, 2004 catalogue",,
M520,2,"1. Thin white layer
2. Ochre layer",W-Y,,,,W,,Y,"Yellow ohre, possibly lead white",,,Y,3,,,,,,,,,Petria Noble,"Mauritshuis documentation, 2004 catalogue",,
M521,2,"1. Thin white layer
2. Warm grey layer",W-G,,,,W,,G,"Lead white, large black particles, some brown particles",,,G,2,,,,Mauritshuis,,,,,Petria Noble,"Mauritshuis documentation, 2004 catalogue",,
M522,2,"1. Thin light grey
2. Whitish layer",LG-LG,,,,LG,"Calcium carbonate (chalk), black, azurite",LG,"Chalk, umber, yellow pigment, blue pigment (azurite?)",,,LG,2,,,,Mauritshuis,,,,,Petria Noble,"Mauritshuis documentation, 2004 catalogue",,"The catalogue says there's a light grey ground followed by a whitish ground, but I'm going by the binder"
M523,2,"1. Whitish chalk ground
2. Opaque light brown lauer",LY-LBr,,,,LY,,LBr,,,,LBr,3,,,,,,,,,Petria Noble,"Mauritshuis documentation, 2004 catalogue",,
M524,2,"1. Ochre layer
2. Blueish grey layer",Y-G,,,,Y,"Calcium carbonate (chalk), yellow ochre, lead white",G,White and black pigments,,,G,2,,,,Mauritshuis,,,,,Petria Noble,"Mauritshuis documentation, 2004 catalogue",,
M525,2,"1. Whitish chalk layer
2. Thick light grey ground",LY-LG,,,,LY,,LG,,,,LG,2,,,,Mauritshuis,,,,,Petria Noble,"Mauritshuis documentation, 2004 catalogue",,
M526,2,"1. Whitish chalk layer
2. Thick light grey ground",LY-LG,,,,LY,,LG,,,,LG,2,,,,Mauritshuis,,,,,Petria Noble,"Mauritshuis documentation, 2004 catalogue",,
M527,1,"Thick, cream-coloured ground containing umber",LBr,,,,LBr,"Chalk, lead white, umber, ochre",,,,,LBr,2,,,,Mauritshuis,,,,,Petria Noble,"Mauritshuis documentation, 2004 catalogue",,Was SEM-EDX done?
M528,1,Single thick beige,LBr,,,,LBr,,,,,,LBr,3,,,,,,,,,Petria Noble,"Mauritshuis documentation, 2004 catalogue",,
M529,2,"Chalk ground, light ochre coloured priming",LY-Y,,,,LY,Calcium carbonate (chalk),Y,,,,Y,2,,,,Mauritshuis,,,,,Petria Noble,"Mauritshuis documentation, 2004 catalogue",,
M530,1,Whitish ground,W,,,,W,,,,,,W,3,,,,,,,,,Petria Noble,"Mauritshuis documentation, 2004 catalogue",,
M531,1,Single beige,LBr,,,,LBr,,,,,,LBr,2,,,,Mauritshuis,,,,,Petria Noble,"Mauritshuis documentation, 2004 catalogue",,
M532,1,Single beige,LBr,,,,LBr,,,,,,LBr,1,,,,Mauritshuis,,,,,Petria Noble,"Mauritshuis documentation, 2004 catalogue",,
M533,1,Opaque white,W,,,,W,,,,,,W,3,,,,,,,,,Petria Noble,"Mauritshuis documentation, 2004 catalogue",,
M534,2,"1. Reddish
2. Grey",R-G,,,,R,,G,,,,G,2,,,,Mauritshuis,,,,,Petria Noble,"Mauritshuis documentation, 2004 catalogue",,
M535,1,Thin lead white,W,,,,W,Lead white,,,,,W,3,,,,,,,,,Petria Noble,"Mauritshuis documentation, 2004 catalogue",,
M536,2,"1. Thick chalk
2. Medium grey",LY-G,,,,LY,Calcium carbonate (chalk),G,,,,G,2,,,,Mauritshuis,,,,,Petria Noble,"Mauritshuis documentation, 2004 catalogue",,
M537,2,"1. Chalk
2. Lead white",LY-W,,,,LY,Calcium carbonate (chalk),W,Lead white,,,W,1,,,,Mauritshuis,,,,,Petria Noble,"Mauritshuis documentation, 2004 catalogue",,Would SEM be possible for this one? Images!
M538,2,"1. Orangey ochreous
2. Two thick yellow ochre coloured",O-Y,,,,O,,Y,,,,Y,2,,,,Mauritshuis,,,,,Petria Noble,"Mauritshuis documentation, 2004 catalogue",,
M539,2,"1. Chalk
2. Opaque yellowish ochre-coloured",LY-Y,,,,LY,Calcium carbonate (chalk),Y,,,,Y,2,,,,Mauritshuis,,,,,Petria Noble,"Mauritshuis documentation, 2004 catalogue",,
M540,2,"1. Chalk
2. Cream coloured",LY-LY,,,,LY,Calcium carbonate (chalk),LY,,,,LY,3,,,,,,,,,Petria Noble,"Mauritshuis documentation, 2004 catalogue",,
M541,2,"1. Thick red
2. Thin grey",R-G,,,,R,,G,,,,G,2,,,,Mauritshuis,,,,,Petria Noble,"Mauritshuis documentation, 2004 catalogue",,
M542,1,Thin cream-coloured,LY,,,,LY,,,,,,LY,3,,,,,,,,,Petria Noble,"Mauritshuis documentation, 2004 catalogue",,
M543,1,Whitish chalk,LY,,,,LY,Calcium carbonate (chalk),,,,,LY,2,,,,Mauritshuis,,,,,Petria Noble,"Mauritshuis documentation, 2004 catalogue",,
M544,2,"1. Dark brown/grey
2. Light grey
Exceptions: 416: brownish grey on thick red ochre, 414: greyish red on ochreish grey",DBr-LG,,,,DBr,,LG,,,,LG,2,,,,Mauritshuis,,,,,Petria Noble,"Mauritshuis documentation, 2004 catalogue",,"""painted in a free and open manner, the gilded copper support showing through in many places acting in a similar way as an imprimatura"" -PN"
